StateAbbr,PlaceName,PlaceFIPS,tract2010,plctract10,Population2010,Lack of Health Insurance,Arthritis,Binge Drinking,High Blood Pressure,People Taking Medicine for High Blood Pressure,Cancer (Excluding Skin Cancer),Asthma,Coronary Heart Disease,Visits to Doctor for Routine Checkup within the Past Year,Cholesterol Screening,Colon Screening,Chronic Obstructive Pulmonary Disease,Men >= 65 Years up to Date on Core Set of Clinical Preventive Services,Women >= 65 Years up to Date on Core Set of Clinical Preventive Services,Smoking,Visits to Dentist,Diabetes,High Cholesterol,Chronic Kidney Disease,No Leisure-Time Physical Activity,Mammography Use among Women aged 50-74 years,Mental Health Not Good,Obesity,Papanicolaou Smear Use Among Adult Women Aged 21-65 Years,Physical Health Not Good,Sleeping Less Than 7 Hours,Stroke,Teeth Lost Among Adults Aged >= 65 Years,Geolocation
WI,Green Bay,5531000,55009001802,5531000-55009001802,4102,8.6,14.6,32.5,18.4,65,3.9,9.4,3.3,67.1,65.2,71.4,3.8,31.8,31.5,15.3,77.9,5,25.7,1.6,14.9,79.4,12.1,25.5,82.5,7.6,32.2,1.5,10,"(44.54284764200, -87.9465848482)"
WI,Green Bay,5531000,55009002001,5531000-55009002001,8222,10.2,27.3,23.3,33.5,77.5,7.8,8.6,7.2,72.8,78.5,69.9,6.3,31.9,28.7,15.7,74,10.1,37.7,3,21,79.5,10.6,31.4,85,11.6,32.7,3.3,12.5,"(44.49790235780, -87.9593347588)"
WI,Green Bay,5531000,55009002002,5531000-55009002002,5146,11.3,20.2,28.6,25.3,68.4,4.9,9.3,4.5,67.8,71.8,66.6,5.3,30.4,29.5,19.5,71.8,7.4,31.8,2.1,19.8,79.3,12.6,31.6,83.5,10.6,35.3,2.2,12.9,"(44.48066690890, -87.9563432697)"
WI,Green Bay,5531000,55009002003,5531000-55009002003,3278,8.8,19.9,29.7,25.2,69.4,5.4,8.5,4.3,68.9,75.8,70.9,4.6,33.4,32.9,17.1,76.8,6.8,31.4,2,17,79.8,11,30.4,84.6,9.2,34.1,2,9.8,"(44.48758703750, -87.9133096656)"
WI,Green Bay,5531000,55009020100,5531000-55009020100,101,7.3,32.5,21.8,39.1,80.4,9.4,8.3,8.4,76.2,87.3,72.2,7.1,33.2,32.5,15.9,77.4,11.7,42,3.1,21.1,77.4,9.6,32.1,83.7,12.4,32.6,3.5,10.7,"(44.54025223320, -87.8687577671)"
WI,Green Bay,5531000,55009020704,5531000-55009020704,139,13.2,30.3,22.8,36.7,77.9,8,9.2,8.1,72.2,77.9,66.9,8,29,27.9,19.7,68.4,11.8,40.1,3.4,25.2,76.7,12.2,35.6,84.8,14,34.6,3.8,16.1,"(44.47810973860, -87.9844314658)"
WI,Green Bay,5531000,55009021302,5531000-55009021302,456,9,26.1,26.4,31.3,75.3,7.2,9,6.3,71.8,79.2,71.2,6.1,32.3,30.6,17.7,75.4,9.2,36.3,2.6,19.7,79.4,11.4,32.2,84.6,11.3,33.8,2.8,11.2,"(44.50709671050, -88.0963068939)"
WI,Green Bay,5531000,55009940002,5531000-55009940002,4516,7.8,22.9,28,28.2,71.4,6,9.1,5,70.8,79.8,69.1,5.2,32.7,32.2,17.4,77.1,8.2,33.8,2.3,17.6,79.9,11.3,32.5,85.7,10.5,34.5,2.3,9.7,"(44.51684462450, -88.1235715452)"
WI,Green Bay,5531000,55009940003,5531000-55009940003,3298,9.1,25.6,26.2,30.2,74.1,6.7,9.6,6.3,71.4,78.4,68.8,6.3,31.1,30.2,18.5,73.9,9.8,35.1,2.7,19.9,79.3,12.1,33.1,84.5,11.9,34.6,3,12.4,"(44.52277986330, -88.1039934134)"
WI,Green Bay,5531000,55009940004,5531000-55009940004,2669,8.7,26.4,25.5,31.7,75.1,7.2,9.2,6.5,72.3,79.9,70.9,6.2,32.1,31.9,17.8,74.9,9.7,36.1,2.7,19.7,79.1,11.5,33.1,85.2,11.6,34.4,2.9,10.8,"(44.52067562920, -88.0897837635)"
