StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
IL,Chicago,1714000,17031611200,1714000-17031611200,"2,824",36.1,20.7,17.5,32.7,67,3.3,11.1,6.3,64,59.2,37.8,7.9,20.2,14.8,26.8,32,14.8,36.6,4.1,43.6,77.8,18.3,44.1,84.7,19.5,41.3,4.2,28.8,"(41.80499398610, -87.6624413703)"
IL,Chicago,1714000,17031611300,1714000-17031611300,"3,556",35.4,18,20.1,29.5,65.2,3.2,10.1,5.3,62.8,59,41.6,6.2,22.3,16.7,22.6,39,12.2,35.9,3.3,38.6,76.9,16,39.2,84.3,16.5,38.5,3.1,22.9,"(41.80493627480, -87.6673038579)"
IL,Chicago,1714000,17031611400,1714000-17031611400,"4,105",38.5,18.1,19.2,28.9,63,3.1,10.2,5.6,61.3,57.1,36.2,6.7,21.2,15.5,23.7,35.4,12.6,35.9,3.6,41.2,75.7,17.1,40.8,84.5,18.1,38.9,3.3,27.9,"(41.80489009430, -87.6721636169)"
IL,Chicago,1714000,17031611500,1714000-17031611500,"3,567",33.2,21.9,18.5,33.7,72.4,4.6,9.3,7,65.8,64.4,47.3,6.8,23.2,17.4,19.6,41.4,14.6,38.6,4.1,38.9,75.9,14.1,39.3,85.2,16.6,37.2,4.3,27,"(41.80544831290, -87.6786552811)"
IL,Chicago,1714000,17031611600,1714000-17031611600,"1,609",26.3,23.1,18.1,41.2,73.1,3.9,12.6,6,71.1,63.4,47.1,7.9,20.5,18.9,26.6,39,15.1,37.9,3.8,38.1,78.7,16.7,44.1,85.2,17.4,44,4.7,29,"(41.79759556270, -87.6767426576)"
IL,Chicago,1714000,17031611700,1714000-17031611700,"1,990",24.7,21.4,18.8,36.6,71.8,3.8,11.8,5.5,71,66,49.2,6.9,21.7,18.6,24,42.5,13.8,34.9,3.5,35.4,79.6,15.6,42.3,85.8,15.8,42.7,4.1,25.1,"(41.79759917870, -87.6719761934)"
IL,Chicago,1714000,17031611800,1714000-17031611800,"2,139",27.2,25.5,15.9,43.5,73.7,3.9,13.7,6.8,72,62,42.7,9.6,18.4,15.7,29.8,33.1,17.2,38.6,4.4,42.1,79.7,19,47.6,85.7,20.1,46,5.8,36.4,"(41.79764778880, -87.6671137780)"
IL,Chicago,1714000,17031611900,1714000-17031611900,"2,045",24,24.8,16.6,41.8,73.9,4.2,13.2,6.6,73.5,65.9,48.4,8.7,20.9,16.7,28.4,36.5,16.3,36.4,4.1,39.4,79.5,17.5,46.3,85.7,18.1,45.7,5.5,31.5,"(41.79774308330, -87.6598226392)"
IL,Chicago,1714000,17031612000,1714000-17031612000,"1,545",20.7,28.2,15,47,77.9,4.9,13.4,7.6,76.5,69.1,49.4,9.4,21.2,18.2,26.7,38.4,18.5,39.1,4.7,39.1,80.6,16.8,47.2,86.3,18.6,45.6,6.4,31.6,"(41.79784670340, -87.6525358919)"
IL,Chicago,1714000,17031612100,1714000-17031612100,"1,470",17.5,28.1,15.6,46.9,79.5,5.8,12.5,7.5,78.1,73.9,56.5,8.2,23.8,21,22.2,46.5,17.6,38.9,4.4,34.3,79.4,14,43.6,87.3,16.1,43,5.8,24.6,"(41.79791277290, -87.6476807279)"
IL,Chicago,1714000,17031620100,1714000-17031620100,"4,289",28.6,18.8,21.1,28.7,68.1,4.3,9,5.4,64.4,66.1,48.7,5.7,27.8,21.4,18,49.6,10.9,36.2,3.1,32.8,75.2,13.3,34.6,84.5,14.2,35.5,2.8,19,"(41.79801763400, -87.7180256085)"
IL,Chicago,1714000,17031620200,1714000-17031620200,"2,223",21.5,19.8,23.8,28.3,71.2,5.5,8.5,5.5,66.7,71.2,56.8,5.3,34.5,26.3,15.7,60,9.1,35.4,2.7,26.3,75.2,11.2,30,84.6,11.7,33.1,2.6,14.3,"(41.79552142280, -87.7292337398)"
IL,Chicago,1714000,17031620300,1714000-17031620300,"6,399",26.6,20.9,21.4,29.3,69.6,5,9.4,6,64.9,67.5,50.8,6.6,29.6,22.5,19.1,50.6,10.6,36.8,3.2,32,74.1,13.6,33.8,84.3,14.5,34.9,3.1,20,"(41.78950251090, -87.7304437817)"
IL,Chicago,1714000,17031620400,1714000-17031620400,"5,198",26.4,16.8,23.2,26.5,66.7,4.1,8.5,4.6,64.5,66.6,52.1,4.6,30.4,23.7,15.8,55.5,9.3,34.5,2.7,28.8,75.7,12,32.4,85.2,12.2,34.2,2.2,15,"(41.78963820810, -87.7181681615)"
